state,selected_strata,optimized_los,objective
US,43_2023_Fall,8.679724293454097,35327
US,44_2023_Fall,9.946308662575602,34904
US,45_2023_Fall,9.177564563591831,33868
US,46_2023_Fall,9.041760980216301,35858
US,47_2023_Fall,9.010364307238307,38693
US,48_2023_Fall,14.646635026066864,39550
US,48_2024_Winter,14.599887065916725,26473
US,49_2024_Winter,9.30906847805586,48989
US,50_2024_Winter,8.95756690012391,52480
US,51_2024_Winter,7.583482328242954,54891
US,52_2024_Winter,8.600811932309409,61688
US,1_2024_Winter,13.676760735455515,257141
US,2_2024_Winter,10.434966507949683,83924
US,3_2024_Winter,11.348182190648783,80443
US,4_2024_Winter,12.094326200978864,68115
US,5_2024_Winter,11.997304298676548,60248
US,6_2024_Winter,11.554253878508195,52953
US,7_2024_Winter,11.272941622107533,47558
US,8_2024_Winter,13.064918907391682,45423
US,9_2024_Winter,13.50662448513146,40445
US,9_2024_Spring,11.616762685465158,21004
US,10_2024_Spring,10.416407864998737,37347
US,11_2024_Spring,12.513493845517608,32705
US,12_2024_Spring,13.502581586762165,26446
US,13_2024_Spring,12.126882914240404,22384
US,14_2024_Spring,10.722996323728294,19412
US,15_2024_Spring,11.693851204551466,18081
US,16_2024_Spring,12.167143398593181,15767
US,17_2024_Spring,12.676351987229236,12813
