state,selected_strata,optimized_los,objective
US,2020_Summer,14.12815290279257,2674131
US,2020_Fall,4.231445214747762,13701191
US,2021_Winter,3.376738273066627,32048664
US,2021_Spring,4.715045589677546,10081734
US,2021_Summer,3.6867755501035333,12739707
US,2021_Fall,6.463889350399198,19128644
US,2022_Winter,5.832815729997476,35579495
US,2022_Spring,5.825348832303413,4500227
US,2022_Summer,6.095844803252679,11207155
US,2022_Fall,10.416407864998737,7570343
US,2023_Winter,4.006811926292373,9171970
US,2023_Spring,5.8322606535853305,3240960
US,2023_Summer,3.789592395841684,2196178
US,2023_Fall,5.698698086940764,4392777
US,2024_Winter,5.832728666103216,7652616
US,2024_Spring,13.261959468864786,1096255
