state,unique_date,optimized_los,objective
US,2023-08-02,14.999928469668161,6749
US,2023-08-03,11.482881081750389,12062
US,2023-08-04,13.158030888347856,15671
US,2023-08-05,13.25851331462537,17790
US,2023-08-06,12.167184270002522,18359
US,2023-08-07,9.875347365242973,18879
US,2023-08-08,8.878956464061353,19798
US,2023-08-09,7.315608052401916,21280
US,2023-08-10,7.172457489119892,22458
US,2023-08-11,6.339297103994285,23506
US,2023-08-12,5.777952991355195,24529
US,2023-08-13,5.902312705277651,25109
US,2023-08-14,5.8526844508685185,25760
US,2023-08-15,5.7666793378858445,26047
US,2023-08-16,5.7581443905185274,26028
US,2023-08-17,5.6413424526114175,26199
US,2023-08-18,5.604803511844024,26930
US,2023-08-19,5.91173963774868,29536
US,2023-08-20,5.540758301093896,27912
US,2023-08-21,5.591865264707603,28736
US,2023-08-22,5.532944836774637,27775
US,2023-08-23,5.833762378804696,32347
US,2023-08-24,5.827338263404515,33195
US,2023-08-25,5.83285650701737,35236
US,2023-08-26,5.512935219449673,29189
US,2023-08-27,5.50199590811488,29048
US,2023-08-28,5.48794948955987,29619
US,2023-08-29,5.481204468568418,30428
US,2023-08-30,5.5073575647005235,30341
US,2023-08-31,5.45134220867747,30422
US,2023-09-01,5.61117841532732,32821
US,2023-09-02,5.5306547957847645,60941
US,2023-09-03,5.526825704962182,75387
US,2023-09-04,5.537657432132794,90340
US,2023-09-05,5.545862811555794,106994
US,2023-09-06,5.551110233735445,125308
US,2023-09-07,5.599136432059768,142730
US,2023-09-08,5.703753381652898,159504
US,2023-09-09,5.747514496824552,178378
US,2023-09-10,5.62024145522347,190538
US,2023-09-11,5.6410314338542085,205753
US,2023-09-12,5.670152143229549,224616
US,2023-09-13,5.597579866078524,242542
US,2023-09-14,5.6744302053630395,259585
US,2023-09-15,5.687831621924988,276363
US,2023-09-16,5.651896803743071,294398
US,2023-09-17,5.648542631435839,310808
US,2023-09-18,5.6328921027756085,325188
US,2023-09-19,5.6610905097017,343375
US,2023-09-20,5.650254289901114,360260
US,2023-09-21,5.666291159744338,378358
US,2023-09-22,5.60927895430243,393703
