state,selected_strata,optimized_los,objective,simulation
US,2020-2021,3.477678819818357,71155656,1
US,2020-2021,3.416721875458902,73426680,2
US,2020-2021,3.394633374282496,70313819,3
US,2020-2021,3.0952626341858176,70613239,4
US,2020-2021,3.2535125587466247,70838797,5
US,2020-2021,3.9389720597725537,73777881,6
US,2020-2021,3.6880258244358672,73042030,7
US,2020-2021,4.082039324993691,73300187,8
US,2020-2021,3.184831991627289,69071325,9
US,2020-2021,3.109897033464435,69452605,10
US,2020-2021,3.40779226141773,70833404,11
US,2020-2021,3.2767611134570216,71246205,12
US,2020-2021,3.2072045389249157,71852705,13
US,2020-2021,3.746771939671285,74422418,14
US,2020-2021,4.000725312153427,73316787,15
US,2020-2021,4.13597816154153,74170068,16
US,2020-2021,3.782233254639482,74351683,17
US,2020-2021,3.082077409094295,69160843,18
US,2020-2021,4.754136807988656,79292030,19
US,2020-2021,3.134924768716011,71568889,20
US,2020-2021,3.5252780252675677,72139897,21
US,2020-2021,3.4066312799370158,71931225,22
US,2020-2021,3.3488558907720574,71206959,23
US,2020-2021,3.7150054464857103,70953843,24
US,2020-2021,3.6618069028322355,71127589,25
US,2020-2021,3.6131523178109397,72278543,26
US,2020-2021,3.0601880586709633,69696570,27
US,2020-2021,3.8003550898207776,72243054,28
US,2020-2021,3.254083845650323,69903356,29
US,2020-2021,3.4131934797557824,71915689,30
US,2020-2021,3.1840584627072896,71179018,31
US,2020-2021,3.4133022449835964,70755010,32
US,2020-2021,4.750776405003785,78062640,33
US,2020-2021,4.082039324993691,75493600,34
US,2020-2021,3.261515630068674,70155894,35
US,2020-2021,4.103268106955857,71502125,36
US,2020-2021,3.9921979419909817,73271319,37
US,2020-2021,4.036554769384186,74627868,38
US,2020-2021,3.5017600497979178,71975491,39
US,2020-2021,3.1302088425888797,70034092,40
US,2020-2021,4.13111697594423,73427339,41
US,2020-2021,3.8745780399430947,73403416,42
US,2020-2021,3.8598329471378605,73989517,43
US,2020-2021,3.2325766927827377,71819113,44
US,2020-2021,3.667348264522775,72822732,45
US,2020-2021,3.6103180057986015,71709009,46
US,2020-2021,3.4004747325733313,70479233,47
US,2020-2021,3.751231716176363,73043806,48
US,2020-2021,4.082039324993691,73721586,49
US,2020-2021,3.4505696851652985,71939301,50
US,2020-2021,4.922464585283573,78480703,51
US,2020-2021,4.082832608529913,76137110,52
US,2020-2021,5.90994710005636,82503119,53
US,2020-2021,3.2703531055084465,70671088,54
US,2020-2021,3.157867409957098,69523727,55
US,2020-2021,3.9146621845457714,73821148,56
US,2020-2021,3.2064860323298285,69543506,57
US,2020-2021,3.157867409957098,70808242,58
US,2020-2021,3.7836261844428436,73744493,59
US,2020-2021,4.73398334385848,77087814,60
US,2020-2021,3.696943218776393,71411643,61
US,2020-2021,4.48523009143837,75838467,62
US,2020-2021,3.1450293830854466,70219907,63
US,2020-2021,4.3311690502501845,77193753,64
US,2020-2021,4.082039324993691,75437403,65
US,2020-2021,3.770214745455739,72674666,66
US,2020-2021,3.175776595045586,70225445,67
US,2020-2021,3.3236796407930123,73324317,68
US,2020-2021,4.757741477515089,77235280,69
US,2020-2021,3.5372623782114037,71279710,70
US,2020-2021,3.693846467976637,73356346,71
US,2020-2021,3.3958529707148135,72862874,72
US,2020-2021,3.615824399679081,72745478,73
US,2020-2021,3.8853616861093725,73582574,74
US,2020-2021,4.0819940833481985,73786962,75
US,2020-2021,3.826563742842176,72997117,76
US,2020-2021,4.151519643297783,74613920,77
US,2020-2021,3.864047273873326,75115803,78
US,2020-2021,3.4505696851652985,71875385,79
US,2020-2021,3.6890763197251717,73397087,80
US,2020-2021,3.3066947841672407,70818209,81
US,2020-2021,3.2912900733688866,72862639,82
US,2020-2021,3.3258935786540262,72206456,83
US,2020-2021,3.7874117362707165,72050398,84
