state,unique_date,optimized_los,objective
US,2023-08-05,12.973102108601221,17802
US,2023-08-12,12.20154855745164,63511
US,2023-08-19,14.655519985833875,129403
US,2023-08-26,14.640932438748385,290196
US,2023-09-02,13.622898169983506,622610
US,2023-09-09,13.811799826427269,1139834
US,2023-09-16,12.16883069663156,1896557
US,2023-09-23,3.6355376863466975,2350920
US,2023-09-30,10.968675837327444,3109400
US,2023-10-07,3.7950117625062547,3242696
US,2023-10-14,8.998546905364442,3865553
US,2023-10-21,3.616178287918171,3611570
US,2023-10-28,7.370295969356469,4545276
US,2023-11-04,4.750776405003785,4118519
US,2023-11-11,6.099299981303997,4518266
US,2023-11-18,6.238629116319002,4167032
US,2023-11-25,7.583592135001261,4570719
US,2023-12-02,4.908643814960883,3817241
US,2023-12-09,3.7714196296615676,3885803
US,2023-12-16,13.36982356477161,4734994
US,2023-12-23,3.6687370800100947,4640743
US,2023-12-30,7.583592135001261,5398773
US,2024-01-06,4.10232496879352,5316918
US,2024-01-13,6.500854110944004,6466977
US,2024-01-20,5.889056257169418,6945067
US,2024-01-27,3.531392046107212,6933189
US,2024-02-03,3.3657278723307287,6388229
US,2024-02-10,4.082039324993691,6789197
US,2024-02-17,4.410490154459495,7550264
US,2024-02-24,6.337399546672288,7724292
US,2024-03-02,3.5711696549406944,6630673
US,2024-03-09,7.563506441254262,6930389
US,2024-03-16,6.5011824192574315,6713332
US,2024-03-23,13.249180050791779,5653639
US,2024-03-30,4.108500081933728,5332677
US,2024-04-06,10.418859731127776,4216756
US,2024-04-13,13.330835444968121,3643407
US,2024-04-20,13.249223594996213,3270606
US,2024-04-26,3.3931255192921848,3393816
